-------- C++ --------,100,1193608,12
Title,Size,Average-3Sigma,Average,Average+3Sigma,3Sigma,,Results
"set to large array[test2() of site1].",0, 1508,1622,1736,114,,1603,1597,1597,1598,1599,1603,1600,1604,1620,1595,1596,1622,1635,1632,1618,1619,1646,1614,1624,1599,1613,1598,1611,1595,1595,1588,1617,1628,1617,1618,1663,1578,1589,1719,1690,1684,1641,1652,1647,1708,1660,1674,1639,1622,1672,1646,1622,1691,1682,1662,1666,1648,1654,1632,1690,1652,1642,1637,1713,1668,1663,1710,1682,1629,1678,1692,1635,1657,1632,1613,1581,1579,1580,1598,1583,1584,1588,1587,1587,1589,1588,1579,1580,1593,1582,1581,1603,1590,1580,1587,1582,1589,1588,1591,1598,1584,1578,1581,1578,1578
"set to large array.",0, 1507,1615,1722,107,,1598,1603,1601,1594,1601,1604,1592,1599,1592,1600,1591,1595,1601,1602,1593,1602,1671,1584,1600,1590,1611,1591,1620,1598,1592,1591,1614,1626,1615,1592,1600,1586,1601,1692,1716,1646,1635,1665,1681,1724,1665,1653,1617,1648,1628,1651,1620,1633,1627,1629,1658,1697,1656,1660,1650,1674,1638,1643,1630,1676,1624,1635,1656,1677,1640,1688,1655,1634,1633,1608,1581,1586,1586,1586,1580,1579,1583,1581,1585,1597,1574,1582,1580,1616,1580,1574,1581,1579,1581,1580,1579,1583,1580,1581,1578,1577,1574,1580,1580,1582
"initialize volatile memory.",0, 378,410,443,33,,404,402,405,408,404,407,401,402,434,409,413,405,404,403,405,407,413,414,402,411,405,403,406,403,404,405,432,405,428,406,409,405,401,409,416,416,418,421,418,404,423,420,413,414,413,414,409,423,409,411,425,440,411,422,411,421,409,412,410,450,431,438,429,433,416,416,429,414,411,399,398,399,405,402,399,405,400,400,405,402,399,402,402,423,402,398,404,404,404,403,402,402,403,402,399,401,399,403,437,397
"initialize non-volatile memory.",0, 0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"calculation(i^j).",0, 550,596,642,46,,587,589,588,587,587,586,588,587,630,592,588,592,587,594,589,594,589,586,587,588,593,587,584,597,587,586,618,585,616,586,586,582,584,635,610,607,615,595,609,618,595,604,596,601,595,599,590,605,591,600,597,610,655,609,599,644,614,602,606,604,614,622,614,653,609,605,605,603,596,584,584,588,581,579,610,581,586,584,585,585,579,585,583,583,583,587,578,582,584,586,586,603,588,584,582,584,586,585,582,584
"calculation(i%10).(1/10)",0, 1182,1267,1352,85,,1256,1250,1259,1261,1268,1292,1273,1260,1251,1255,1262,1257,1262,1269,1264,1253,1267,1265,1249,1253,1264,1252,1255,1248,1255,1256,1272,1289,1265,1246,1247,1248,1243,1292,1275,1266,1268,1282,1296,1321,1270,1348,1319,1290,1267,1274,1272,1282,1288,1267,1307,1274,1319,1257,1275,1267,1268,1263,1279,1257,1286,1406,1302,1393,1254,1330,1266,1265,1282,1252,1239,1250,1241,1257,1265,1240,1264,1248,1264,1244,1251,1255,1242,1240,1255,1250,1238,1254,1239,1238,1273,1242,1240,1250,1236,1263,1245,1234,1247,1243
"inline expansion.",0, 380,406,432,26,,404,405,401,405,400,401,403,400,405,401,401,402,401,406,402,400,403,401,399,400,407,411,400,401,398,403,403,399,416,399,401,400,400,415,417,413,419,411,417,408,406,418,421,415,411,405,403,410,415,413,408,413,413,407,414,414,404,409,442,435,422,422,431,406,418,403,415,408,417,402,397,402,404,401,404,402,398,399,397,397,403,396,399,400,420,398,405,396,401,396,397,400,396,397,401,397,396,397,397,401
"modify string.(1/50)",0, 7010,7764,8519,755,,7746,7652,7775,7622,7603,7721,7610,7633,7671,7771,7669,7684,7615,7674,7660,7648,7832,7594,7720,7612,7616,7554,7651,7591,7603,7903,7647,8358,7698,7636,7657,7600,7608,8241,8090,8448,7711,7822,7794,8377,7646,7755,7732,7736,7871,7692,7919,7804,7644,8758,7683,8016,7687,7742,7750,7945,8249,7719,8673,8211,8131,7946,8522,7963,7729,8064,7724,7760,7978,7560,7549,7532,7660,7524,8029,7636,7554,7650,7574,7769,7559,7671,7554,7636,7640,7736,7636,7504,7612,7642,7791,7549,7589,7569,7541,7574,7553,7631,7685,7578
"get 10bytes memory & setup.",10, 484,575,665,91,,562,556,551,551,547,553,549,550,554,564,552,553,559,549,554,551,552,549,557,559,564,552,606,595,610,546,562,634,614,592,597,545,548,619,594,573,590,616,623,630,556,590,565,620,633,611,566,596,568,555,583,571,605,632,604,573,571,566,633,627,603,670,652,631,597,574,571,589,595,560,592,592,586,542,553,547,555,557,547,546,543,544,597,588,593,545,543,543,548,549,545,547,589,545,540,544,543,577,548,542
"get 100bytes memory & setup.",100, 854,936,1018,82,,927,917,932,925,918,924,927,918,943,918,924,924,925,923,918,929,949,917,932,923,936,922,917,920,926,910,936,924,920,935,916,940,913,959,1006,1009,940,950,942,956,946,996,945,942,1021,931,963,955,939,944,990,971,941,953,946,961,950,962,977,1027,943,969,1004,984,951,961,962,959,981,908,941,909,922,913,914,906,917,921,909,915,908,910,916,925,917,907,910,918,911,912,912,908,906,923,916,912,913,910,914,910
"get 1000bytes memory & setup.(1/10)",1000, 2951,3450,3949,499,,3415,3355,3352,3365,3335,3338,3414,3329,3447,3412,3338,3392,3363,3414,3426,3336,3406,3331,3416,3417,3341,3372,3474,3438,3381,3405,4252,3355,3349,3350,3373,3406,3357,3763,3504,3540,3708,3654,3394,3859,3420,3555,3391,3586,3381,3421,3621,3445,3797,3446,3404,3541,3661,3568,3392,3773,3468,3501,3659,3893,3876,3796,3629,3379,3557,3617,3451,3408,3818,3306,3389,3358,3321,3320,3371,3348,3349,3353,3325,3372,3316,3320,3426,3316,3313,3359,3340,3320,3332,3326,3329,3383,3344,3346,3307,3310,3554,3334,3305,3307
