-------- C# --------,3,86197,29
Title,Size,Average-3Sigma,Average,Average+3Sigma,3Sigma,,Results
"set to large array[test1() of site1].",0,2215,2532,2848,316,,2547,2653,2396
"set to large array[test2() of site1].",0,1497,1690,1882,192,,1752,1716,1601
"set to large array by managed-1.",0,1423,1700,1977,277,,1685,1819,1595
"set to large array by managed-2.",0,2232,2522,2811,289,,2555,2619,2390
"set to large array by managed-3.",0,1080,1280,1480,200,,1289,1356,1194
"set to large array by unsafe-1.",0,1706,1903,2100,197,,1948,1951,1810
"set to large array by unsafe-2.",0,1523,1667,1810,144,,1672,1722,1606
"initialize volatile memory.",0,389,419,448,30,,414,432,409
"initialize non-volatile memory.",0,378,421,465,44,,421,440,404
"calculation(i^j).",0,581,629,676,48,,638,641,606
"calculation(i%10).(1/10)",0,1322,1835,2349,514,,2070,1771,1665
"inline expansion.(1/10)",0,5624,5791,5958,167,,5826,5835,5713
"modify string.(1/50)",0,26074,32638,39202,6564,,35634,31811,30469
"get 10bytes memory & setup.",10,119,140,162,21,,146,145,130
"get 100bytes memory & setup.",100,752,809,866,57,,820,825,782
"get 1000bytes memory & setup.(1/10)",1000,5872,6455,7037,583,,6658,6512,6193
"get 10000bytes memory & setup.(1/100)",10000,57164,61180,65196,4016,,63062,60064,60414
"get 100000bytes memory & setup.(1/1000)",100000,650552,736983,823415,86432,,777727,716366,716858
"get 1000000bytes memory & setup.(1/10000)",1000000,6662388,7276732,7891076,614344,,7566243,7138360,7125594
"get 10000000bytes memory & setup.(1/100000)",10000000,76284515,77115753,77946992,831238,,77371290,76730720,77245250
"get 10bytes memory & setup.",10,122,138,155,16,,146,134,135
"get 100bytes memory & setup.",100,730,803,877,73,,838,784,788
"get 1000bytes memory & setup.(1/10)",1000,6063,6284,6505,221,,6359,6184,6308
"get 10000bytes memory & setup.(1/100)",10000,55455,61744,68034,6290,,64706,60152,60375
"get 100000bytes memory & setup.(1/1000)",100000,668027,736159,804291,68132,,767934,716217,724327
"get 1000000bytes memory & setup.(1/10000)",1000000,6934767,7128122,7321476,193355,,7207625,7049764,7126976
"get 10000000bytes memory & setup.(1/100000)",10000000,75676825,76910117,78143408,1233292,,77485720,76551520,76693110
"construct & read member.(1/10)",0,4736,4921,5107,186,,4834,4971,4959
"normal(int).",0,869,916,964,48,,938,912,899
"generics(int).(1/10)",0,7957,9400,10842,1443,,10080,9075,9045
"generics(double).(1/10)",0,9195,9794,10393,599,,10077,9653,9653
"generics(string).(1/1000)",0,320255,370050,419845,49795,,393524,358405,358223


